,station_id,time_of_day,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,time_interval,bike_uptime,dock_uptime,day_of_week,last_updated_hour,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
2801,3558,Peak Weekday Evenings,0.0,240,240,240,368897926841,232,204,5864,180,0,2400,0.525,1.0,480,4200,,2.0,25.0,,3558.0,,2018-10-25 01:16:28 PM,40.6794388,,-73.9680438,,Bergen St & Vanderbilt Ave,,Bergen St & Vanderbilt Ave,1.0,In Service,False,27.0
2802,3558,Peak Weekday Mornings,0.0,359,359,359,551795881412,2356,504,6564,269,0,3590,1.0,1.0,720,2872,,2.0,25.0,,3558.0,,2018-10-25 01:16:28 PM,40.6794388,,-73.9680438,,Bergen St & Vanderbilt Ave,,Bergen St & Vanderbilt Ave,1.0,In Service,False,27.0
2803,3558,Peak Weekends,0.0,720,720,720,1106678899071,2647,829,15529,435,8,7200,0.8263888888888888,1.0,3957,10453,,2.0,25.0,,3558.0,,2018-10-25 01:16:28 PM,40.6794388,,-73.9680438,,Bergen St & Vanderbilt Ave,,Bergen St & Vanderbilt Ave,1.0,In Service,False,27.0
2804,3559,Other,0.0,2980,2980,2980,4580387998964,7609,122,48889,0,0,29800,0.8050335570469799,1.0,8481,31900,,1.0,18.0,,3559.0,,2018-10-25 01:16:13 PM,40.7576314,,-73.9391224,,21 St & 38 Ave,,21 St & 38 Ave,1.0,In Service,False,19.0
2805,3559,Peak Weekday Evenings,0.0,240,240,240,368896966364,725,12,3823,0,0,2400,0.8791666666666667,1.0,480,4200,,1.0,18.0,,3559.0,,2018-10-25 01:16:13 PM,40.7576314,,-73.9391224,,21 St & 38 Ave,,21 St & 38 Ave,1.0,In Service,False,19.0
2806,3559,Peak Weekday Mornings,0.0,359,359,359,551793859243,957,0,5864,0,0,3590,0.8495821727019499,1.0,720,2872,,1.0,18.0,,3559.0,,2018-10-25 01:16:13 PM,40.7576314,,-73.9391224,,21 St & 38 Ave,,21 St & 38 Ave,1.0,In Service,False,19.0
2807,3559,Peak Weekends,0.0,720,720,720,1106673586483,1539,21,12120,0,0,7200,0.7041666666666667,1.0,3957,10453,,1.0,18.0,,3559.0,,2018-10-25 01:16:13 PM,40.7576314,,-73.9391224,,21 St & 38 Ave,,21 St & 38 Ave,1.0,In Service,False,19.0
2808,3560,Other,0.0,2980,2980,2980,4580401254001,6122,85,50061,0,44,29800,0.6976510067114094,1.0,8481,31900,,0.0,19.0,,3560.0,,2018-10-25 01:17:42 PM,40.754876,,-73.934326,,28 St & 38 Ave,,28 St & 38 Ave,1.0,In Service,False,19.0
2809,3560,Peak Weekday Evenings,0.0,240,240,240,368897616370,175,0,4385,0,0,2400,0.5041666666666667,1.0,480,4200,,0.0,19.0,,3560.0,,2018-10-25 01:17:42 PM,40.754876,,-73.934326,,28 St & 38 Ave,,28 St & 38 Ave,1.0,In Service,False,19.0
2810,3560,Peak Weekday Mornings,0.0,359,359,359,551795814416,1343,10,5388,0,38,3590,0.9025069637883008,1.0,720,2872,,0.0,19.0,,3560.0,,2018-10-25 01:17:42 PM,40.754876,,-73.934326,,28 St & 38 Ave,,28 St & 38 Ave,1.0,In Service,False,19.0
2811,3560,Peak Weekends,0.0,720,720,720,1106677723939,1155,79,12446,0,5,7200,0.6152777777777778,1.0,3957,10453,,0.0,19.0,,3560.0,,2018-10-25 01:17:42 PM,40.754876,,-73.934326,,28 St & 38 Ave,,28 St & 38 Ave,1.0,In Service,False,19.0
